Film,Universe,Release Date,Chrises,Box Office,Ridiculous,Fun,Enjoyment
Iron Man,1,2008,0,318412101,2.698275862,5.695652174,7.568965517
Punisher: War Zone,1,2008,0,33810189,4.882352941,3.882352941,4.470588235
Dark Knight,2,2008,1,889163900,2.5,4.657894737,7.421052632
Incredible Hulk,1,2008,0,169165800,4.626666667,4.04,5.266666667
Watchmen,2,2009,0,129847600,3.647887324,4.115942029,6.070422535
X Men Origins: Wolverine,1,2009,0,217258300,4.581395349,4.058139535,5.627906977
Iron Man 2,1,2010,0,357411200,3.961904762,4.714285714,6.380952381
Jonah Hex,2,2010,0,12135300,5.2,3.7,4.3
The Losers,2,2010,1,26974500,3.388888889,6.444444444,8.444444444
Captain America: The First Avenger,1,2011,1,200488700,2.877192982,5.324561404,7.535087719
Ghost Rider,1,2011,0,58862300,5.46875,3.580645161,4.625
Green Lantern,2,2011,0,130697800,5.835820896,3.363636364,4.075757576
Thor,1,2011,1,202427300,3.594594595,5.482142857,7.383928571
X-Men: First Class,1,2011,0,163845600,3,5.450549451,7.571428571
The Amazing Spider-Man,1,2012,0,303438200,4.1375,4.775,6.189873418
The Avengers,1,2012,2,692699700,3.088495575,6.194690265,8.371681416
The Dark Knight Rises,2,2012,1,518812100,3.415841584,4.118811881,6.534653465
Iron Man 3,1,2013,0,440132200,4.371134021,4.639175258,6.360824742
Man of Steel,2,2013,0,317606700,4.369863014,3.520547945,5.397260274
The Wolverine,1,2013,0,152232100,4.03125,4.578125,6.40625
Thor: The Dark World,1,2013,2,222915200,4.147368421,4.621052632,6.557894737
The Amazing Spider-Man 2,1,2014,0,219513500,4.711864407,3.983050847,5.440677966
Captain America: The Winter Soldier,1,2014,1,281070600,2.484848485,5.565656566,8.111111111
Guardians of the Galaxy,1,2014,1,371009900,3.889830508,6.576271186,8.56779661
X-Men: Days of Future Past,1,2014,0,253478300,3.630434783,5,7.032608696
Ant Man,1,2015,0,196671400,4.211764706,5.658823529,7.541176471
Avengers: Age of Ultron,1,2015,2,480695900,4.317757009,4.485981308,6.579439252
Fantastic Four,1,2015,0,61268000,5.698113208,3.057692308,4.176470588
Batman vs. Superman: Dawn of Justice,2,2016,0,344728300,5.485714286,3.128571429,4.442857143
Captain America: Civil War,1,2016,1,421264600,3.591836735,4.836734694,6.979591837
Deadpool,1,2016,0,381059700,4.161904762,6.523809524,8.723809524
Doctor Strange,1,2016,0,238446100,3.444444444,5.247191011,7.426966292
Suicide Squad,2,2016,0,343993400,5.685714286,4.1,5.328571429
X-Men Apocalypse,1,2016,0,160504000,4.723684211,3.907894737,5.644736842
Guardians of the Galaxy Vol. 2,1,2017,1,392444300,3.954022989,6.218390805,8.264367816
Justice League,2,2017,0,224793200,4.666666667,4.064516129,5.967741935
Logan,1,2017,0,230370400,1.803030303,4.272727273,8.439393939
Spider-Man: Homecoming,1,2017,0,337137900,3.153846154,6.138461538,8.2
Thor: Ragnarok,1,2017,1,309233900,3.820512821,6.571428571,8.818181818
Wonder Woman,2,2017,1,415500900,2.270833333,5.864583333,8.747368421
Black Panther,1,2018,0,687213600,3.333333333,6.276851223,8.135987745
Ant Man and The Wasp,1,2018,0,221048000,6.521973456,6.997215465,7.246761598
Avengers: Infinity War,1,2018,3,652501800,2.565741111,3.523987654,7.513894561
Captain Marvel,1,2019,0,426829800,5.897234163,7.854239877,8.125673312
Aquaman,2,2019,0,334758500,6.873856423,5.878787879,6.238787531
Avengers: Endgame,1,2019,3,858373000,2.333333333,5.623761542,8.4651246
